word,type,tags
Add,,
Allow,,
Appear,,
Ask,,
Attack,,
Attract,,
Be,,
Become,,
Begin,,
Believe,,
Bite,,
Bring,,
Build,,
Burn,,
Buy,,
Call,,
Care,,
Change,,Homonym
Charge,,Homonym
Check,,
Come,,
Consider,,
Continue,,
Cook,,
Copy,,
Cough,,
Cover,,
Crack,,
Craft,,
Crash,,
Create,,
Crush,,
Cut,,
Cycle,,
Dash,,
Die,,Homonym
Do,,
Drum,,
Expect,,
Fall,,Homonym
Fan,,Homonym
Fear,,
Feel,,
Fiddle,,
Fight,,
Find,,
Fly,,Homonym
Follow,,
Get,,
Give,,
Go,,
Grow,,
Happen,,
Have,,
Hear,,
Help,,
Hide,,
Hit,,
Hold,,
Include,,
Increase,,
Keep,,
Kill,,
Know,,
Lead,,Homonym
Learn,,
Leave,,
Let,,
Like,,
Live,,Homonym
Look,,
Lose,,Homonym
Love,,
Make,,
Meet,,
Move,,
Need,,
Offer,,
Open,,
Pay,,
Play,,Homonym
Provide,,
Pull,,
Pump,,
Push,,
Put,,Homonym
Reach,,
Read,,Homonym
Remain,,
Remember,,
Rip,,
Rub,,
Run,,
Say,,
See,,
Send,,
Serve,,
Set,,
Shake,,
Shame,,
Shoot,,
Show,,Homonym
Sit,,
Slip,,Homonym
Smash,,
Speak,,
Spend,,
Spirit,,Homonym
Squash,,
Stand,,Homonym
Start,,
Stay,,
Stop,,
Take,,
Talk,,
Tell,,
Think,,
Train,,Homonym
Try,,
Turn,,
Understand,,
Use,,Homonym
View,,
Wait,,
Walk,,
Want,,
Wash,,
Watch,,Homonym
Wave,,Homonym
Win,,
Work,,
Write,,
